"search.str";"lat";"lon"
"Hydrogaster trinervis";-19,28;-40,2
"Hymenolobium janeirense";-19,77;-42,6
"Myrcia venulosa";-20,1263;-43,492778
"Angostura bracteata";-19,3949002236543;-40,071853011446
"Pilocarpus giganteus";-19,3949002236543;-40,071853011446
NA;NA;NA
"Trichilia silvatica";-19,3949002236543;-40,071853011446
"Qualea megalocarpa";-19,3949002236543;-40,071853011446
"Leandra cogniauxii";-19,890197;-43,364883
"Randia armata";-18,876944;-42,331111
"Cecropia pachystachya";-18,876944;-42,331111
"Croton urucurana";-18,876944;-42,331111
"Trema micrantha";-18,876944;-42,331111
"Vitex polygama";-19,218889;-43,3725
"Solanum leptostachys";-20,1551;-43,2534
"Stephanopodium engleri";-20,1865;-43,55573
"Dendropanax cuneatus";-19,8925;-43,365278
"Xylopia sericea";-19,8925;-43,365278
"Luehea grandiflora";-19,938056;-43,576111
"Casearia sylvestris";-19,938056;-43,576111
"Ternstroemia brasiliensis";-19,000278;-43,3975
"Micropholis gnaphaloclados";-19,000833;-43,3975
"Tontelea micrantha";-19,0625;-43,4375
"Myrcia subcordata";-19,0625;-43,4375
"Callisthene minor";-19,0625;-43,4375
"Vochysia emarginata";-20,188056;-43,541111
"Myrcia eriocalyx";-18,939167;-43,411944
"Myrcia nobilis";-18,939167;-43,411944
"Eugenia espinhacensis";-18,571389;-43,344167
"Diplotropis ferruginea";-18,571389;-43,344167
"Licaria armeniaca";-19,766111;-42,666389
"Prunus persica";-20,646667;-42,489444
"Eugenia excoriata";-19,156111;-40,37
"Psidium grazielae";-19,155833;-40,37
"Eremanthus incanus";-19,009167;-43,396389
"Bauhinia ungulata";-19,009167;-43,396389
"Myrcia hebepetala";-19,003333;-43,392778
"Eugenia nutans";-19,008333;-43,388056
"Miconia dodecandra";-19,011389;-43,394444
"Siphoneugena densiflora";-19,002778;-43,391944
"Sloanea guianensis";-19,009167;-43,396389
"Myrcia spectabilis";-20,430833;-43,370556
"Miconia latecrenata";-20,430833;-43,370556
"Eremanthus erythropappus";-20,135;-43,486944
"Trembleya pentagona";-20,135;-43,486944
"Ocotea divaricata";-19,806111;-42,539444
"Peritassa flaviflora";-20,208444;-43,437056
"Monteverdia obtusifolia";-19,391389;-40,072222
"Ocotea odorifera";-19,936722;-40,687889
"Monteverdia gonoclada";-20,098433;-43,490833
"Pera heteranthera";-19,805;-42,543056
"Ocotea aciphylla";-20,234972;-43,412056
"Monteverdia longifolia";-19,546111;-40,325556
"Rhodostemonodaphne macrocalyx";-19,281667;-40,461944
"Ocotea longifolia";-19,247;-39,951944
"Protium spruceanum";-20,4202180528198;-42,9087453925292
"Neoraputia magnifica";-19,33;-40,05
"Erythroxylum passerinum";-19,3949002236543;-40,071853011446
"Solanum melissarum";-19,3949002236543;-40,071853011446
"Phyllostemonodaphne geminiflora";-19,67;-41,83
"Lecythis lurida";-18,9028;-40,81692
"Ampelocera glabra";-19,3949002236543;-40,071853011446
"Machaerium stipitatum";-19,73;-42,6
"Clarisia ilicifolia";-20,4202180528198;-42,9087453925292
"Bauhinia rufa";-19,948004;-43,248576
"Apuleia leiocarpa";-19,7160055017001;-42,7320328016446
"Vismia micrantha";-20,1263;-43,492778
"Dalbergia villosa";-20,3874;-43,5057
"Vochysia tucanorum";-19,3949002236543;-40,071853011446
"Vitex sellowiana";-20,761343;-42,868031
"Monteverdia radlkoferiana";-20,1263;-43,492778
"Tetrastylidium grandifolium";-19,67;-41,83
"Cybistax antisyphilitica";-19,7669;-40,7561
"Lecythis lanceolata";-19,41122;-43,42247
"Piptadenia gonoacantha";-19,0409924221712;-43,4248788829597
"Ladenbergia hexandra";-19,3949002236543;-40,071853011446
"Gaylussacia brasiliensis";-19,3949002236543;-40,071853011446
"Galipea jasminiflora";-18,8548899476916;-41,9492794672852
"Guatteria australis";-19,22;-40,63
"Casearia arborea";-18,4489;-43,351
"Guarea kunthiana";-20,761343;-42,868031
"Machaerium villosum";-20,2916151948885;-43,5082859302814
"Couratari macrosperma";-19,35428;-40,516
"Couepia carautae";-19,3949002236543;-40,071853011446
"Dalbergia foliolosa";-19,8;-42,62
"Jacaranda obovata";-19,3949002236543;-40,071853011446
"Lychnophora sellowii";-18,9;-43,4
"Solanum granulosoleprosum";-20,761343;-42,868031
"Myrcia tenuifolia";-19,2472;-39,96153
"Guarea blanchetii";-19,28;-40,2
"Astronium fraxinifolium";-19,3325;-40,5347
"Clethra scabra";-20,3874;-43,505833
"Eugenia dichroma";-19,3949002236543;-40,071853011446
"Wunderlichia mirabilis";-18,1422;-43,0594
"Cabralea canjerana";-19,948004;-43,248576
"Senna pendula";-20,1263;-43,49265
"Posoqueria latifolia";-21,153556;-43,603417
"Campomanesia simulans";-20,499028;-43,621528
"Eugenia tenuipedunculata";-19,396361;-43,402056
"Myrcia obovata";-20,627722;-42,420639
"Myrcia floridissima";-19,749444;-42,481111
"Eugenia cymatodes";-18,984722;-40,739167
NA;NA;NA
"Vitex megapotamica";-19,419667;-42,663944
"Myrcia multipunctata";-20,525361;-43,633667
"Myrcia pubescens";-21,153556;-43,603417
"Eugenia handroana";-21,153556;-43,603417
"Solanum diploconos";-21,164778;-43,599639
"Eugenia pistaciifolia";-18,996111;-40,653611
"Myrcia mischophylla";-19,889722;-43,364444
"Myrciaria glanduliflora";-19,838889;-43,3225
"Myrcia laruotteana";-19,890278;-43,368333
"Eugenia itajurensis";-19,890278;-43,368333
"Pimenta pseudocaryophyllus";-19,890278;-43,368333
"Prockia crucis";-19,335556;-40,533333
"Xylopia aromatica";-20,945167;-43,728139
"Styrax leprosus";-20,939;-43,790889
"Cheiloclinium cognatum";-20,945167;-43,728139
"Myrcia subsericea";-19,348333;-40,561111
"Myrcia crocea";-19,416667;-42,528333
"Eugenia robustovenosa";-19,361111;-42,605
"Myrceugenia alpigena";-20,413278;-41,814917
"Myrcia montana";-20,412861;-42,550278
"Siphoneugena delicata";-20,644583;-42,417306
"Blepharocalyx salicifolius";-20,627944;-42,420639
"Eugenia involucrata";-20,129167;-43,515
"Myrciaria floribunda";-20,129167;-43,515
