"search.str";"lat";"lon"
"Eugenia modesta";-19,889444;-43,368333
"Psidium myrtoides";-20,098611;-43,487222
"Psidium oblongatum";-18,983056;-40,740278
"Eugenia sonderiana";-19,016389;-43,391111
"Myrcia concisa";-20,760278;-42,544444
"Eugenia laruotteana";-19,415;-43,430833
"Pseudobombax grandiflorum";-20,066667;-41,033333
"Myrcia eumecephylla";-18,907028;-40,747222
"Diospyros apeibacarpos";-19,45;-40,1
"Jacaranda pulcherrima";-20,25;-43,5
"Guatteria pogonopus";-19,91666;-40,6
"Myrcia teresensis";-19,91666;-40,6
"Psychotria cupularis";-19,73638;-41,81888
"Ravenia infelix";-19,5486;-40,4347
"Funifera grandifolia";-19,2;-40,416667
"Andradea floribunda";-19,15;-40,383333
"Psychotria subspathulata";-19,704444;-43,516389
"Leandra fallacissima";-19,91666;-40,6
"Coussarea leptopus";-19,91666;-40,6
"Cordia taguahyensis";-19,36666;-40,11666
"Tabebuia elliptica";-19,41666;-40,06666
"Lychnophora ericoides";-20,1;-43,46666
"Myrcia lasiantha";-19,766667;-42,6
"Abarema filamentosa";-19,76666;-42,6
"Erythrina verna";-19,76666;-42,46666
"Joannesia princeps";-19,73333;-42,61666
"Handroanthus vellosoi";-20,25;-43,5
"Tabernaemontana salzmannii";-19,416667;-40,066667
"Guatteria pohliana";-19,916667;-43,466667
"Cecropia glaziovii";-20,756822;-42,876638
"Cecropia hololeuca";-19,65;-42,58
"Solanum bullatum";-20,166667;-42,166667
"Ilex conocarpa";-20,3875;-43,505833
"Xylopia decorticans";-19,995278;-43,521389
"Duguetia chrysocarpa";-19,148611;-40,457778
"Emmotum nitens";-19,67;-41,83
"Miconia chartacea";-19,9632093958864;-43,4154792631713
"Caryocar edule";-19,3949002236543;-40,071853011446
"Solanum warmingii";-20,2621158114588;-42,0333858659022
"Miconia polyandra";-19,8028;-40,7719
"Coussapoa floccosa";-20,761343;-42,868031
"Paratecoma peroba";-19,3949002236543;-40,071853011446
"Chamaecrista dentata";-20,2916151948885;-43,5082859302814
"Neoraputia alba";-19,4169007116929;-40,5416847206305
"Diatenopteryx grazielae";-20,3049163210635;-42,4776160348919
"Myrcia amplexicaulis";-19,67;-41,83
"Sorocea guilleminiana";-19,67;-41,83
"Hirtella bahiensis";-19,3949002236543;-40,071853011446
"Matayba marginata";-20,37495;-43,418056
"Paradrypetes ilicifolia";-19,67;-41,83
"Handroanthus cristatus";-19,3949002236543;-40,071853011446
"Miconia sellowiana";-20,44483;-43,52636
"Trichilia pseudostipularis";-19,33;-40,05
"Protium warmingianum";-19,34825;-40,551
"Hololepis pedunculata";-20,1311;-43,4681
"Melicoccus espiritosantensis";-19,4;-40,07
"Myrcia ilheosensis";-19,22;-39,97
"Grazielodendron rio-docensis";-19,23;-40,05
"Miconia corallina";-20,1;-43,47
"Dalbergia glaucescens";-19,7;-42,62
"Deguelia hatschbachii";-19,83;-41,83
"Solanum sooretamum";-19,15;-40,38
"Myrcia rufipes";-19,02;-43,42
"Vataireopsis araroba";-19,23;-40,05
"Machaerium caratinganum";-19,83;-41,83
"Machaerium ruddianum";-19,83;-41,83
"Lychnophora pinaster";-20,07;-43,4
"Poecilanthe falcata";-19,23;-40,05
"Myrcia vellozoi";-19,92;-40,6
"Myrcia variabilis";-19,17;-43,42
"Myrcia lutescens";-20,449722;-43,405556
