spp
Heterocoma albida
Platymiscium speciosum
Qualea magna
Simira grazielae
Mollinedia uleana
Protium widgrenii
Miconia valentinensis
Licania salzmannii
Macrothumia kuhlmannii
Chusquea nutans
Allophylus puberulus
Myrcia coelosepala
Miconia hirtella
Matayba mollis
Myrcia anceps
Chrysophyllum flexuosum
Pera furfuracea
Manilkara subsericea
Miconia angelana
Pouteria coelomatica
Matayba sylvatica
Kielmeyera albopunctata
Plinia cauliflora
Sterculia curiosa
Eriotheca candolleana
Ocotea dispersa
Virola bicuhyba
Nectandra lanceolata
Bathysa nicholsonii
Casearia ulmifolia
Trichilia catigua
Guarea pendula
Urbanodendron verrucosum
Licania belemii
Heisteria silvianii
Tovomita glazioviana
Mouriri glazioviana
Myrcia laxiflora
Meliosma itatiaiae
Myrcia pubipetala
Ouratea polygyna
Cordia sellowiana
Eugenia dodonaeifolia
Ilex cerasifolia
Tabernaemontana hystrix
Croton hemiargyreus
Cryptocarya moschata
Miconia brunnea
Xylopia brasiliensis
Plinia grandifolia
Kielmeyera rufotomentosa
Duroia valesca
Tabebuia cassinoides
Campomanesia rufa
Mimosa scabrella
Myrciaria glomerata
Myrcia perforata
Myrceugenia bracteosa
Myrcia anacardiifolia
Vochysia dasyantha
Miconia warmingiana
Cordia fusca
Eugenia pluriflora
Myrcia maximiliana
Myrcia robusta
Campomanesia anemonea
Chloroleucon tortum
Solanum latiflorum
Monteverdia horrida
Ocotea tristis
Croton blanchetianus
Ocotea glauca
Ocotea kostermanniana
Nectandra puberula
Heisteria perianthomega
Mouriri pusa
Cryptocarya citriformis
Rhodostemonodaphne capixabensis
Cupania ludowigii
Kielmeyera bifaria
Campomanesia pubescens
Ocotea grandifructa
Psychotria alto-macahensis
Daphnopsis coriacea
Myrcia cordiifolia
Swartzia flaemingii
Leandra quinquedentata
Ocotea percoriacea
Connarus regnellii
Myrcia nitida
Lychnophora syncephala
Acalypha villosa
Ouratea semiserrata
Rudgea gardenioides
Qualea glaziovii
Myrciaria pilosa
Miconia willdenowii
Agarista pulchra
Trattinnickia ferruginea
Eugenia cerasiflora
Guapira noxia
Guapira tomentosa
Siphoneugena kiaerskoviana
Magnolia ovata
Symphyopappus lymansmithii
Myrcia insularis
Byrsonima vacciniifolia
Myrcia glazioviana
Swartzia pilulifera
Casearia obliqua
Aniba intermedia
Aspidosperma brasiliense
Croton medusae
Cupania oblongifolia
Piptolepis monticola
Miconia inconspicua
Eugenia neoformosa
Chamaecrista hedysaroides
Daphnopsis utilis
Terminalia phaeocarpa
Toulicia subsquamulata
Symplocos falcata
Myrceugenia franciscensis
Agarista glaberrima
Vernonanthura phaeoneura
Eremanthus ovatifolius
Miconia mellina
Cupania paniculata
Symplocos angulata
Weinmannia humilis
Vismia martiana
Ocotea laxa
Kielmeyera lathrophyton
Vochysia schwackeana
Solanum decorum
Callisthene erythroclada
Ficus mexiae
Schwartzia adamantium
Erythrina speciosa
Cyanocephalus lippioides
Tovomita leucantha
Callisthene major
Duguetia lanceolata
Myrsine lineata
Coussarea congestiflora
Dalbergia brasiliensis
Miconia urophylla
Abarema villosa
Eugenia capparidifolia
Metrodorea stipularis
Swartzia hilaireana
Symplocos pentandra
Ocotea velloziana
Miconia elegans
Parinari brasiliensis
Daphnopsis fasciculata
Tachigali paratyensis
Panopsis multiflora
Eugenia aurata
Inga schinifolia
Ormosia friburgensis
Mollinedia oligantha
Plinia espinhacensis
Merianthera sipolisii
Myrceugenia pilotantha
Matayba juglandifolia
Mollinedia lamprophylla
Chronopappus bifrons
Monteverdia communis
Toulicia laevigata
Tachigali friburgensis
Mollinedia widgrenii
Eugenia barrana
Miconia tentaculifera
Vochysia acuminata
